log_yield,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
2.86569606,28.375,6.432258935,28,1.433330059,3.266669989,28.43330002,1.019799948,6.167280197,0.533999979,52,26,21,12,34.40000153
2.966141733,30.875,6.365519245,33.20000076,2,3.200000048,28.76670074,0.753576994,7.476610184,0.583000004,9,74,17,12,36.20000076
2.755874856,31.875,6.486442523,36.20000076,0.93333298,2.333329916,27.4666996,0.746456027,7.889180183,0.340000004,33,33,34,11,35
2.667452953,30.875,5.756559282,34.79999924,0.833333015,2.133330107,26.76670074,0.692108989,7.50301981,0.331999987,32,29,39,11,34.59999847
2.657055853,32.625,6.579009978,37.5,0.633333027,2.166670084,27.26670074,0.748736024,8.404379845,0.266000003,26,38,36,9,35.09999847
2.903089987,32.625,5.046908581,36.90000153,1.200000048,2.666670084,28.20000076,0.763763011,8.550439835,0.451000005,39,20,40,11,35.59999847
2.963787827,36.375,3.215108581,41.20000076,0.333332986,2.266669989,25.06669998,0.824989021,9.263660431,0.286000013,22,44,34,7,34
2.830588669,26.375,6.022835254,28.5,0.633333027,2.299999952,30.16670036,0.871214986,5.992139816,0.356999993,20,29,51,12,37
2.556302501,33.125,5.780332437,38.09999847,0.733332992,2.366669893,27.43330002,0.794440985,8.696129799,0.323000014,35,29,36,9,35.20000076
2.904174368,34.875,6.921274819,38.90000153,0.466666996,2.400000095,25.23329926,0.851158023,8.706620216,0.32100001,26,35,39,9,33.59999847
2.624282096,32.375,5.971068396,36,0.866666973,2.366669893,27.73329926,0.728790998,8.183110237,0.344999999,35,33,32,11,35
2.833147112,33.125,7.197947481,36.90000153,0.466666996,2.066669941,25.5333004,0.736236989,8.08355999,0.236000001,3,92,5,9,33.40000153
2.655138435,33.125,5.311775046,37.90000153,1.066669941,2.633330107,28.20000076,0.799004972,8.805310249,0.419,51,19,30,10,35.79999924
2.793790385,31.375,6.824660917,35.90000153,0.800000012,2.200000048,27.16670036,0.759186029,7.753880024,0.228,35,15,50,11,35.20000076
2.752048448,30.375,5.520233234,32.29999924,1.666669965,3.066669941,28.39999962,0.788938999,7.368169785,0.504999995,41,28,31,12,35.29999924
3.010299957,31.375,5.9819721,36.29999924,0.433333009,1.866670012,26.93330002,0.640253007,7.844089985,0.128999993,33,15,53,10,35.09999847
3.11991541,29.375,6.320950129,31.60000038,0.633333027,2,29.79999924,0.718743026,7.201179981,0.412999988,44,26,31,12,36.29999924
2.810232518,28.875,6.085963445,28.20000076,1.633329988,3.400000095,28.39999962,1.02986002,6.303009987,0.549000025,11,58,31,12,34.29999924
2.864511081,29.875,6.814014666,29.79999924,2.266669989,3.433330059,28.39999962,0.766880989,6.641670227,0.55400002,56,22,23,12,35
2.716003344,35.375,5.542796805,40.29999924,0.600000024,2.633330107,26.5333004,0.908670008,9.217579842,0.419999987,5,84,11,9,35
2.462397998,33.875,5.906738436,38.70000076,1.066669941,2.833329916,28.36669922,0.837881982,8.99917984,0.442000002,17,30,54,10,36.29999924
2.645422269,34.125,6.518057823,40,0.800000012,2.633330107,28.23329926,0.908379018,9.262869835,0.388000011,34,32,34,9,36.40000153
2.929418926,26.375,7.071352471,26,0.866666973,2.833329916,29.10000038,1.034700036,5.48691988,0.428000003,41,33,26,12,35.09999847
2.881384657,30.625,6.517947672,34,1.666669965,2.966670036,27.93330002,0.701080978,7.644030094,0.486000001,46,19,35,12,35.29999924
2.99343623,29.125,4.696356389,31.89999962,1.399999976,2.933330059,28.9666996,0.798246026,7.056439877,0.412,28,45,27,12,35.70000076
2.890421019,33.125,6.871312222,36.90000153,0.433333009,2.099999905,25.26670074,0.754180014,7.924890041,0.216000006,3,92,5,9,33.40000153
2.602059991,33.125,5.345322749,37.90000153,1.166669965,2.900000095,28.23329926,0.808290005,8.788990021,0.499000013,15,55,29,10,35.90000153
3.019946682,28.875,5.987438782,32.09999847,0.666666985,2.166670084,30.5333004,0.790234029,7.239970207,0.372999996,36,35,29,12,37.29999924
3.103119254,33.125,6.996117432,33.79999924,2.700000048,4.400000095,27,0.776939988,7.999770164,0.722000003,13,17,70,11,33.70000076
3.089198367,33.375,6.899156246,33.90000153,2.5,4.466670036,27.06669998,0.905873001,8.046019554,0.507000029,45,17,38,11,33.70000076
3.02325246,36.375,6.611892745,36.90000153,2.700000048,4.099999905,25.93330002,0.638179004,9.026670456,0.65200001,13,23,65,9,33.20000076
