log_yield,long,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
4.997887721,-101.125,40.625,6.398520186,43.70000076,0.333332986,2.633330107,22.5333004,0.917959988,10.19999981,0.38499999,13,17,70,7,32.20000076
4.878246106,-101.125,40.125,6.343654526,43.5,0.333332986,2.666670084,23.20000076,0.931397021,10.12390041,0.326000005,13,17,70,7,32.79999924
5.159629847,-101.125,41.625,5.336465738,43.79999924,0.366667002,2.599999905,21.23329926,0.912539005,10.30599976,0.428000003,3,90,6,6,30.79999924
3.572345638,-101.125,45.875,5.432974099,46.29999924,0.366667002,2.166670084,20.43330002,0.76098001,11.7098999,0.442000002,17,38,45,6,29.79999924
5.308267697,-100.875,38.875,6.770820138,43.20000076,0.5,2.533329964,23.93330002,0.813521981,10.03719997,0.264999986,16,20,64,7,33.20000076
5.298317367,-100.875,37.625,6.872387058,42.79999924,0.400000006,2.400000095,24.93330002,0.815011024,9.980480194,0.409000009,14,17,70,7,34
5.093750201,-100.875,38.375,6.29249066,43.20000076,0.433333009,2.433330059,24.29999924,0.809554994,10.03349972,0.284999996,14,40,46,7,33.59999847
5.308267697,-100.875,37.125,6.515663133,42.20000076,0.466666996,2.5,25.36669922,0.831574023,9.823949814,0.326999992,10,58,32,7,34.29999924
5.117993812,-100.875,41.125,7.008156795,43.90000153,0.366667002,2.766669989,21.5333004,0.970004976,10.42350006,0.465000004,14,37,50,7,30.89999962
4.905274778,-100.875,40.125,6.576050264,44.59999847,0.366667002,2.799999952,23.26670074,0.967501998,10.36219978,0.358999997,13,18,69,7,33.09999847
3.538056564,-100.875,43.625,4.947262127,46.09999847,0.366667002,2.466670036,22.33329964,0.848662019,11.26990032,0.442999989,53,22,25,7,32.09999847
4.657762636,-100.875,43.125,5.397651541,45.70000076,0.333332986,2.466670036,21.83329964,0.858601987,11.03409958,0.481999993,10,61,29,7,31.60000038
5.319099906,-100.875,34.875,4.546382241,40,0.533333004,2.366669893,26.89999962,0.841489971,9.105460167,0.404000014,4,89,8,9,35.20000076
5.267342562,-100.875,35.375,5.425596165,40,0.56666702,2.466670036,25.93330002,0.834846973,9.105429649,0.398000002,17,48,35,9,34.40000153
5.378513909,-100.875,36.375,5.933971423,41,0.5,2.5,25.5,0.827327013,9.374239922,0.272000015,35,11,54,8,34.29999924
5.340418543,-100.875,35.875,5.102272445,40.5,0.533333004,2.5,25.66670036,0.824759007,9.230919838,0.379000008,17,48,35,9,34.29999924
4.069026754,-100.625,46.875,5.452367663,47.59999847,0.366667002,2,19.39999962,0.70560497,12.20119953,0.611999989,19,41,41,5,28.60000038
3.992680908,-100.625,48.125,5.362031736,48.79999924,0.56666702,2.166670084,19.06669998,0.70983398,12.84829998,0.612999976,6,78,15,5,27.89999962
4.257030144,-100.625,43.875,4.976395837,46.09999847,0.366667002,2.466670036,22.33329964,0.848662019,11.26990032,0.467999995,56,21,23,7,32.09999847
4.294560609,-100.625,44.375,4.879863964,46.09999847,0.366667002,2.433330059,22.26670074,0.846517026,11.44610023,0.423999995,56,21,23,7,32
4.276666119,-100.375,39.875,6.150979208,44.40000153,0.400000006,2.966670036,23.76670074,1.013059974,10.34070015,0.34799999,13,17,70,7,33.59999847
4.234106505,-100.375,38.875,5.98032613,43,0.466666996,2.533329964,24.33329964,0.828059018,10.15480042,0.307999998,13,17,70,7,33.5
5.327876169,-100.375,37.625,6.75205575,41.90000153,0.466666996,2.5,25.23329926,0.829522014,10.02970028,0.324000001,28,14,58,7,33.90000153
5.147494477,-100.375,38.625,5.550794402,43,0.466666996,2.533329964,24.33329964,0.828059018,10.15480042,0.301999986,20,24,57,7,33.5
5.257495372,-100.375,37.875,6.723946008,41.90000153,0.466666996,2.5,25.23329926,0.829522014,10.02970028,0.381000012,28,13,59,7,33.90000153
4.787491743,-100.375,39.375,6.697085164,43.29999924,0.433333009,2.700000048,23.93330002,0.907001019,10.21000004,0.340999991,16,23,60,7,33.29999924
4.377014093,-100.375,47.625,4.906647449,48.29999924,0.533333004,2.200000048,18.5,0.720005989,12.69369984,0.625,18,42,40,5,27.20000076
4.888844237,-100.375,40.625,6.557754595,44.29999924,0.400000006,3,22.73329926,1.052379966,10.48309994,0.426999986,13,17,70,7,32.20000076
4.943069975,-100.375,41.625,5.971657545,44.20000076,0.5,2.833329916,21.36669922,0.960232019,10.62590027,0.495000005,3,92,5,7,30.60000038
5.190175208,-100.375,36.625,5.431977776,41.20000076,0.5,2.633330107,25.93330002,0.885703027,9.611390114,0.296999991,26,35,39,9,34.59999847
5.275560379,-100.375,36.375,5.32306844,40.70000076,0.56666702,2.633330107,25.83329964,0.867030978,9.376790047,0.333999991,17,48,35,9,34.5
4.80811103,-100.375,31.375,4.605692828,35.90000153,0.800000012,2.200000048,27.16670036,0.759186029,7.753880024,0.228,35,15,50,11,35.20000076
5.318119994,-100.375,35.375,4.125546324,40.29999924,0.600000024,2.633330107,26.5333004,0.908670008,9.217579842,0.419999987,5,84,11,9,35
3.958906591,-100.125,46.375,5.865252072,47.90000153,0.300000012,2.133330107,19.9666996,0.76078099,12.33160019,0.529999971,15,25,60,6,29.20000076
4.335982696,-100.125,45.875,6.027299855,47.5,0.333332986,2.200000048,20.60000038,0.780975997,12.16489983,0.578000009,13,52,35,6,30
4.768139014,-100.125,44.375,6.124538784,46.70000076,0.366667002,2.466670036,22.33329964,0.861772001,11.67720032,0.43599999,14,19,67,7,32.09999847
4.617098757,-100.125,44.625,6.301238624,47.09999847,0.366667002,2.400000095,21.83329964,0.839326978,11.90960026,0.49000001,14,19,67,7,31.5
4.421247348,-100.125,45.375,6.054270539,47.40000153,0.366667002,2.266669989,21.20000076,0.790857017,12.05589962,0.518999994,14,19,67,6,30.79999924
5.153291594,-99.875,37.125,4.596256123,41.5,0.433333009,2.599999905,26.36669922,0.888777018,9.907190323,0.324000001,4,89,7,9,35
5.298317367,-99.875,37.625,6.494292655,41.70000076,0.466666996,2.599999905,25.56669998,0.873862982,10.09799957,0.356999993,15,18,67,7,34.09999847
4.025351691,-99.875,39.375,5.725104336,43.5,0.433333009,2.633330107,24.4666996,0.884033024,10.40079975,0.349000007,14,26,60,7,33.59999847
5.303304908,-99.875,38.125,5.853090748,42.5,0.433333009,2.433330059,25.23329926,0.809554994,10.25279999,0.326999992,22,15,63,7,34
5.141663557,-99.875,37.625,6.31391128,41.70000076,0.466666996,2.599999905,25.56669998,0.873862982,10.09799957,0.356999993,15,18,67,7,34.09999847
4.430816799,-99.875,38.625,4.913395245,43,0.433333009,2.5,24.70000076,0.833894014,10.29710007,0.342999995,14,17,69,7,33.59999847
4.17438727,-99.875,39.875,6.010637845,44.59999847,0.400000006,2.799999952,24.13330078,0.96153301,10.53639984,0.344000012,13,17,70,7,33.79999924
4.787491743,-99.875,38.875,5.251993297,43,0.433333009,2.5,24.70000076,0.833894014,10.29710007,0.345999986,17,30,53,7,33.59999847
4.651099118,-99.875,46.875,5.673819606,48.5,0.400000006,2.233330011,19.5333004,0.773226023,12.66100025,0.595000029,18,40,42,5,28.60000038
4.273884476,-99.875,46.375,5.490709763,48.29999924,0.300000012,2.200000048,19.9666996,0.783735991,12.54030037,0.579999983,19,35,45,5,29.20000076
3.998200702,-99.875,48.125,5.122841467,48.70000076,0.600000024,2.366669893,18.60000038,0.768114984,12.96640015,0.587000012,18,42,40,5,27.10000038
5.153291594,-99.875,41.875,5.206753038,44.29999924,0.466666996,3,21.43330002,1.034369946,10.71420002,0.465000004,3,90,6,7,30.39999962
5.138148614,-99.875,42.625,6.445080399,45.70000076,0.433333009,2.733330011,21.83329964,0.934319973,11.12549973,0.486000001,12,55,32,7,31.29999924
5.172754144,-99.875,40.875,7.076221929,44.29999924,0.466666996,3.099999905,22.9666996,1.066290021,10.50629997,0.49000001,13,19,68,7,32.20000076
4.784988613,-99.875,40.125,6.578387957,45.59999847,0.466666996,3.033329964,24.06669998,1.032500029,10.53800011,0.432000011,13,17,70,7,34
5.08202529,-99.875,40.625,6.652714913,44.29999924,0.466666996,3.099999905,22.9666996,1.066290021,10.50629997,0.460999995,13,17,70,7,32.20000076
4.856706812,-99.875,36.375,4.731548476,40.40000153,0.600000024,2.700000048,26.33329964,0.882274985,9.349510193,0.360000014,17,48,35,9,34.90000153
4.649187071,-99.875,34.625,3.070037867,40.70000076,0.666666985,2.666670084,27.83329964,0.955487013,9.35766983,0.349999994,27,37,36,9,36.09999847
4.333361463,-99.875,43.875,5.891967637,47.09999847,0.333332986,2.5,22.5333004,0.872648001,11.66069984,0.474999994,46,9,45,7,32.29999924
4.485259889,-99.875,45.875,6.030199242,48.09999847,0.266667008,2.166670084,20.76670074,0.797154009,12.38510036,0.58099997,19,23,58,6,30.20000076
4.713127327,-99.875,45.125,6.232077279,48.09999847,0.333332986,2.266669989,21.23329926,0.810536981,12.26049995,0.514999986,14,19,67,6,30.89999962
3.964615456,-99.875,43.375,6.050098128,46.40000153,0.366667002,2.633330107,22,0.917506993,11.37959957,0.508000016,46,9,45,7,31.70000076
4.883559212,-99.875,28.875,5.228254029,32.09999847,0.666666985,2.166670084,30.5333004,0.790234029,7.239970207,0.372999996,36,35,29,12,37.29999924
4.30676415,-99.625,47.625,5.580987665,48.59999847,0.5,2.233330011,18.93330002,0.741159976,12.87940025,0.577000022,18,42,40,5,27.70000076
